member_id,assigned_slip,status,boat_length_ft,boat_length_in,boat_width_ft,boat_width_in,price,upgraded,comment
1212,A-00,PERMANENT,46,11,13,10,1784.79,false,"NOTE: boat is 8' 6"" longer than slip"
1840,A-02,PERMANENT,32,0,11,0,1521.09,false,"NOTE: boat is 5' 6"" shorter than slip"
1784,A-04,PERMANENT,44,10,14,0,1726.08,false,"NOTE: boat is 7' 4"" longer than slip"
1114,A-05,PERMANENT,32,6,11,4,1521.09,false,"NOTE: boat is 5' shorter than slip"
1998,A-06,PERMANENT,38,8,12,3,1512.50,false,"NOTE: boat is 1' 2"" longer than slip"
1750,A-07,PERMANENT,34,0,11,8,1512.50,false,"NOTE: boat is 3' 6"" shorter than slip"
1818,A-08,PERMANENT,35,0,11,10,1512.50,false,"NOTE: boat is 2' 6"" shorter than slip"
1824,A-09,PERMANENT,38,6,12,4,1521.09,false,"NOTE: boat is 1' longer than slip"
1708,A-10,PERMANENT,40,0,10,8,1558.79,false,"NOTE: boat is 2' longer than slip"
930,A-11,PERMANENT,40,0,12,10,1497.83,false,"NOTE: boat is 2' longer than slip"
266,A-12,PERMANENT,36,0,11,7,1523.96,false,"NOTE: boat is 2' shorter than slip"
1758,A-13,PERMANENT,42,0,13,10,1597.75,false,"NOTE: boat is 4' longer than slip"
1946,A-14,PERMANENT,36,10,12,0,1558.79,false,"NOTE: boat is 1' 2"" shorter than slip"
1041,A-15,PERMANENT,37,8,13,0,1523.96,false,"NOTE: boat is 4"" shorter than slip"
1579,A-16,PERMANENT,39,9,12,10,1523.96,false,"NOTE: boat is 1' 9"" longer than slip"
1685,A-17,PERMANENT,42,0,13,0,1567.50,false,"NOTE: boat is 4' longer than slip"
1741,A-18,PERMANENT,35,3,11,6,1515.25,false,"NOTE: boat is 2' 9"" shorter than slip"
2034,A-19,PERMANENT,36,0,12,6,1558.79,false,"NOTE: boat is 2' shorter than slip"
1978,A-20,PERMANENT,38,0,12,3,1495.31,false,"NOTE: boat is 6"" longer than slip"
1081,A-21,PERMANENT,37,0,10,2,1086.59,false,"NOTE: boat is 9' 9"" longer than slip"
2015,A-23,PERMANENT,34,2,11,2,1049.20,false,"NOTE: boat is 6' 11"" longer than slip"
1491,A-24,PERMANENT,17,3,5,9,791.96,false,"NOTE: boat is 9' 4"" shorter than slip"
1760,A-25,PERMANENT,28,2,9,10,777.07,false,"NOTE: boat is 2' 1"" longer than slip"
2059,A-26,PERMANENT,30,0,10,10,893.75,false,"NOTE: boat is 3' 8"" longer than slip; TIGHT FIT"
1632,A-27,PERMANENT,30,0,9,10,844.48,false,"NOTE: boat is 2' 6"" longer than slip"
2033,A-28,PERMANENT,32,10,9,2,884.97,false,"NOTE: boat is 5' 3"" longer than slip"
1994,A-29,PERMANENT,26,0,8,6,814.00,false,"NOTE: boat is 1' 9"" shorter than slip"
1255,A-30,PERMANENT,28,0,9,3,900.01,false,"NOTE: boat is 8"" shorter than slip"
1612,A-31,PERMANENT,29,11,10,0,886.61,false,"NOTE: boat is 2' 1"" longer than slip"
1293,A-32,PERMANENT,24,0,8,6,803.69,false,"NOTE: boat is 3' 10"" shorter than slip"
1494,A-33,PERMANENT,33,0,9,3,870.60,false,"NOTE: boat is 4' longer than slip"
1867,A-34,PERMANENT,27,10,9,3,849.92,false,"NOTE: boat is 11"" shorter than slip"
1870,A-36,PERMANENT,33,7,10,9,992.81,false,"NOTE: boat is 4' 10"" longer than slip"
1984,A-40,PERMANENT,30,1,9,6,926.43,false,"NOTE: boat is 1' longer than slip"
1789,A-42,PERMANENT,34,6,10,6,996.19,false,"NOTE: boat is 4' 8"" longer than slip"
1634,B-01,PERMANENT,42,0,11,6,1328.25,false,"NOTE: boat is 7' longer than slip"
1401,B-02,PERMANENT,36,0,12,6,1307.40,false,"NOTE: boat is 1' longer than slip"
1301,B-03,PERMANENT,36,4,11,11,1331.46,false,"NOTE: boat is 1' 4"" longer than slip"
1431,B-04,PERMANENT,34,0,10,8,1443.75,false,"NOTE: boat is 1' shorter than slip"
594,B-05,PERMANENT,43,0,12,0,1443.75,false,"NOTE: boat is 8' longer than slip"
1958,B-06,PERMANENT,36,0,13,0,1451.77,false,"NOTE: boat is 1' longer than slip"
1769,B-07,PERMANENT,38,0,12,5,1459.79,false,"NOTE: boat is 3' longer than slip"
1202,B-08,PERMANENT,40,0,12,6,1411.67,false,"NOTE: boat is 5' longer than slip"
